,Drug name,Analyte,Specimen,Population,Pregnancy stage,Subject N,Parameter type,Unit,Value,Summary Statistics,Variation type,Variation value,Interval type,Lower limit,High limit,P value
0,Vancomycin,Vancomycin,Plasma,N/A,N/A,103,All Cavg,N/A,103,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,Vancomycin,Vancomycin,Plasma,N/A,N/A,103,Subtherapeutic,%,12.6,N/A,N/A,N/A,N/A,N/A,N/A,<0.001
2,Vancomycin,Vancomycin,Plasma,N/A,N/A,103,Supra-therapeutic,%,12.6,N/A,N/A,N/A,N/A,N/A,N/A,0.025
3,Vancomycin,Vancomycin,Plasma,N/A,N/A,103,Therapeutic,%,74.8,N/A,N/A,N/A,N/A,N/A,N/A,<0.001
4,Vancomycin,Vancomycin,Plasma,N/A,N/A,116,Concentration,mg/L,13.1,Median,N/A,N/A,IQR,11.3,16.2,< 0.001
5,Vancomycin,Vancomycin,Plasma,N/A,N/A,116,Subtherapeutic,%,78,N,Percentage,67.2,N/A,N/A,N/A,<0.001
6,Vancomycin,Vancomycin,Plasma,N/A,N/A,116,Supra-therapeutic,%,2,N,Percentage,1.7,N/A,N/A,N/A,0.025
7,Vancomycin,Vancomycin,Plasma,N/A,N/A,116,Therapeutic,%,36,N,Percentage,31.0,N/A,N/A,N/A,<0.001
8,Vancomycin,Vancomycin,Plasma,N/A,N/A,17,<400,N/A,58.8,N/A,N/A,N/A,N/A,N/A,N/A,0.02
9,Vancomycin,Vancomycin,Plasma,N/A,N/A,17,<8,N/A,11.8,N/A,N/A,N/A,N/A,N/A,N/A,0.02
10,Vancomycin,Vancomycin,Plasma,N/A,N/A,17,Initial AUC/MIC ratio,N/A,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,Vancomycin,Vancomycin,Plasma,N/A,N/A,17,Initial Cavg/MIC ratio,N/A,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,Vancomycin,Vancomycin,Plasma,N/A,N/A,17,≥400,N/A,41.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,Vancomycin,Vancomycin,Plasma,N/A,N/A,17,≥8,N/A,88.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,Vancomycin,Vancomycin,Plasma,N/A,N/A,22,<400,N/A,20/22,N,Percentage,90.9,N/A,N/A,N/A,0.02
15,Vancomycin,Vancomycin,Plasma,N/A,N/A,22,<8,N/A,10,N,Percentage,45.5,N/A,N/A,N/A,0.02
16,Vancomycin,Vancomycin,Plasma,N/A,N/A,22,AUC/MIC ratio,ratio,211,Median,N/A,N/A,IQR,149,275,0.006
17,Vancomycin,Vancomycin,Plasma,N/A,N/A,22,Cavg/MIC ratio,ratio,8.8,Median,N/A,N/A,IQR,6.2,11.5,0.004
18,Vancomycin,Vancomycin,Plasma,N/A,N/A,22,≥400,N/A,2/22,N,Percentage,9.1,N/A,N/A,N/A,N/A
19,Vancomycin,Vancomycin,Plasma,N/A,N/A,22,≥8,N/A,12,N,Percentage,54.5,N/A,N/A,N/A,N/A
20,Vancomycin,Vancomycin,Plasma,N/A,N/A,59,Initial Cavg,N/A,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,Vancomycin,Vancomycin,Plasma,N/A,N/A,59,Subtherapeutic,%,10.2,N/A,N/A,N/A,N/A,N/A,N/A,<0.001
22,Vancomycin,Vancomycin,Plasma,N/A,N/A,59,Supra-therapeutic,%,15.3,N/A,N/A,N/A,N/A,N/A,N/A,0.001
23,Vancomycin,Vancomycin,Plasma,N/A,N/A,59,Therapeutic,%,74.6,N/A,N/A,N/A,N/A,N/A,N/A,<0.001
24,Vancomycin,Vancomycin,Plasma,N/A,N/A,60,Concentration,mg/L,12.9,Median,N/A,N/A,IQR,11.3,17.0,<0.001
25,Vancomycin,Vancomycin,Plasma,N/A,N/A,60,Subtherapeutic,%,41,N,Percentage,68.3,N/A,N/A,N/A,<0.001
26,Vancomycin,Vancomycin,Plasma,N/A,N/A,60,Supra-therapeutic,%,2,N,Percentage,3.3,N/A,N/A,N/A,0.001
27,Vancomycin,Vancomycin,Plasma,N/A,N/A,60,Therapeutic,%,17,N,Percentage,28.3,N/A,N/A,N/A,<0.001
