,Drug name,Analyte,Specimen,Population,Pregnancy stage,Subject N,Parameter type,Unit,Value,Summary Statistics,Variation type,Variation value,Interval type,Lower limit,High limit,P value
0,Buprenorphine,Buprenorphine,Plasma,Maternal,Postpartum,10,Buprenorphine Median (range),µg/L,1.2,Median,N/A,N/A,Range,0.4,6.1,N/A
1,Buprenorphine,Buprenorphine,Plasma,Maternal,Postpartum,10,Buprenorphine Median (range),µg/L,1.7,Median,N/A,N/A,Range,0.7,7.0,N/A
2,Buprenorphine,Buprenorphine,Plasma,Maternal,Postpartum,8,Buprenorphine Median (range),µg/L,2.2,Median,N/A,N/A,Range,1.2,6.1,N/A
3,Buprenorphine,Buprenorphine,Plasma,Maternal,Postpartum,9,Buprenorphine Median (range),µg/L,2.0,Median,N/A,N/A,Range,0.5,5.9,N/A
4,Buprenorphine,Buprenorphine,Plasma,Maternal,Postpartum,9,Buprenorphine Median (range),µg/L,2.4,Median,N/A,N/A,Range,0.7,3.3,N/A
5,Buprenorphine,Buprenorphine glucuronide,Plasma,Maternal,Postpartum,10,Buprenorphine-Glucuronide Median (range),µg/L,1.3,Median,N/A,N/A,Range,0.2,9.3,N/A
6,Buprenorphine,Buprenorphine glucuronide,Plasma,Maternal,Postpartum,10,Buprenorphine-Glucuronide Median (range),µg/L,1.2,Median,N/A,N/A,Range,0.3,9.3,N/A
7,Buprenorphine,Buprenorphine glucuronide,Plasma,Maternal,Postpartum,8,Buprenorphine-Glucuronide Median (range),µg/L,0.6,Median,N/A,N/A,Range,< LOQ,1.1,N/A
8,Buprenorphine,Buprenorphine glucuronide,Plasma,Maternal,Postpartum,8,Buprenorphine-Glucuronide Median (range),µg/L,0.8,Median,N/A,N/A,Range,< LOQ,2.4,N/A
9,Buprenorphine,Buprenorphine glucuronide,Plasma,Maternal,Postpartum,8,Buprenorphine-Glucuronide: n > LOQ,n,7.0,Count,N/A,N/A,N/A,N/A,N/A,N/A
10,Buprenorphine,Buprenorphine glucuronide,Plasma,Maternal,Postpartum,9,Buprenorphine-Glucuronide Median (range),µg/L,1.2,Median,N/A,N/A,Range,0.4,6.2,N/A
11,Buprenorphine,Norbuprenorphine,Plasma,Maternal,Postpartum,10,Norbuprenorphine Median (range),µg/L,4.1,Median,N/A,N/A,Range,< LOQ,5.5,N/A
12,Buprenorphine,Norbuprenorphine,Plasma,Maternal,Postpartum,5,Norbuprenorphine Median (range),µg/L,3.9,Median,N/A,N/A,Range,< LOQ,5.7,N/A
13,Buprenorphine,Norbuprenorphine,Plasma,Maternal,Postpartum,5,Norbuprenorphine Median (range),µg/L,4.7,Median,N/A,N/A,Range,< LOQ,6.7,N/A
14,Buprenorphine,Norbuprenorphine,Plasma,Maternal,Postpartum,8,Norbuprenorphine Median (range),µg/L,3.4,Median,N/A,N/A,Range,< LOQ,12.4,N/A
15,Buprenorphine,Norbuprenorphine,Plasma,Maternal,Postpartum,8,Norbuprenorphine: n > LOQ,n,6.0,Count,N/A,N/A,N/A,N/A,N/A,N/A
16,Buprenorphine,Norbuprenorphine,Plasma,Maternal,Postpartum,9,Norbuprenorphine Median (range),µg/L,3.7,Median,N/A,N/A,Range,< LOQ,5.6,N/A
17,Buprenorphine,Norbuprenorphine glucuronide,Plasma,Maternal,Postpartum,10,Norbuprenorphine-Glucuronide Median (range),µg/L,10.4,Median,N/A,N/A,Range,1.2,24.9,N/A
18,Buprenorphine,Norbuprenorphine glucuronide,Plasma,Maternal,Postpartum,10,Norbuprenorphine-Glucuronide Median (range),µg/L,9.7,Median,N/A,N/A,Range,2.7,34.5,N/A
19,Buprenorphine,Norbuprenorphine glucuronide,Plasma,Maternal,Postpartum,8,Norbuprenorphine-Glucuronide Median (range),µg/L,11.9,Median,N/A,N/A,Range,1.8,42.2,N/A
20,Buprenorphine,Norbuprenorphine glucuronide,Plasma,Maternal,Postpartum,9,Norbuprenorphine-Glucuronide Median (range),µg/L,7.9,Median,N/A,N/A,Range,1.7,30.7,N/A
21,Buprenorphine,Norbuprenorphine glucuronide,Plasma,Maternal,Postpartum,9,Norbuprenorphine-Glucuronide Median (range),µg/L,8.1,Median,N/A,N/A,Range,1.6,32.5,N/A
